Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
27,4.6,7.2,4,2300
26.8,6.2,8.4,1.3,NAN
28.7,6.8,6.5,1.1,178
29.3,6.6,7,1.1,113
28.8,6,6.2,1.5,166
28.3,5.9,6.6,1.1,169
25.8,7.3,6.1,0.9,169
28.3,7.3,5.9,1.5,163
27.8,6.7,6.3,2,149
26,6.8,6.2,1.6,151
27.8,7.1,5.9,1.8,131
26.3,7.4,6.2,1.3,133
25.7,7.3,6.2,1.2,137
29,7.3,5.9,1.3,173
26.9,6,5.9,1.8,171
27,6.1,6.5,2,149
27.5,6.2,6.3,1.8,135
28.3,7,6.5,0.9,166
29,7.3,6,1.6,181
28.2,7.1,7.9,3.3,137
NAN,7.1,7.7,4.4,NAN
27.4,7,8,3.5,105
27.3,7,8,3.3,93
28.5,5.7,7.4,6.3,541
28.4,5.9,7.6,4.9,63
28.4,7,7.7,3.8,285
28.9,6.2,7.4,5.1,401
28.2,5.9,7.8,6.8,228
28.9,7.2,7.9,3.2,282
27,3.2,7.4,46,1164
27.9,6.8,7.8,2.6,72
26.8,6.9,7.5,3.2,409
27.2,6.9,7.5,3.4,307
26.8,6.1,6.9,4.2,135
26.9,6.8,7.4,3.2,133
26.8,6.7,7.4,3.2,124
26.9,6.6,7.4,5,158
26.9,6.7,7.5,3.6,226
26.2,7.1,7.9,3.2,147
27.4,6,7.4,59.1,116
26.4,6.7,7.7,2.3,88
26.7,6.3,7.9,2.5,71
27.3,6.3,7.9,2.4,71
27.4,6.3,7.7,4.4,102
27.6,7,8.3,3.8,90
27.5,7,8.3,3.6,90
27.5,7.1,8.3,3.2,124
26.9,6.8,8.2,4.3,69
25.9,6.8,7.8,3.4,740
25.9,7,7.8,3.4,100
26,6.9,7.8,3.3,169
26.9,6.8,8.2,4,99
24.8,6.7,7.8,2.5,51
26.2,6.7,7.8,2.5,68
25.3,6.9,7.7,2.2,55
26.6,7.1,6.9,0.5,641
26.8,6.6,6.9,0.9,495
26.6,6.9,7.1,0.8,520
26.8,7.2,7,0.8,654
29.3,6.3,6.9,1.3,1325
25.4,7.2,7.4,0.9,2225
25.5,6.9,7.5,0.8,1725
26.6,6.5,6.9,1.3,1127
24.7,7.1,7.1,0.6,646
24.8,7.1,7.1,0.6,538
28,7.5,7.2,0.6,900
27.4,2,6.8,2.4,5425
26,5.6,7,1.2,1650
27.4,7.1,7,0.6,625
26.5,6.1,7,0.8,1150
28.4,6,7,1.1,370
28.8,6.5,7.5,0.8,585
26.7,1.5,6.6,3.6,2978
26.4,2,6.8,2.4,1275
26.5,7.2,7.1,0.6,687
25.5,4,7.5,1.1,1588
28,7.2,7.3,0.9,610
28,0.8,7.1,11.9,11000
27.9,6.4,6.5,1.3,960
28.1,6.3,6.8,1.2,208
28.6,5.4,6.6,1.6,775
25.3,5.8,7.8,1,1650
28.3,6.6,7.2,1.1,1412
26.1,7.7,7.2,1,148
24.3,7.1,7,0.4,218
26,7.3,7.2,0.6,465
28.5,7.8,7.1,0.7,1725
26.6,7.3,7.1,1.3,913
26.8,7,6.6,1.5,1000
28,6,7.2,0.7,1390
26.2,6.8,6.6,0.5,2025
28.5,5.6,7.1,0.6,675
26.5,7,7,1.1,1725
29.3,6.7,6.9,0.5,465
29.3,6.2,7.2,0.8,1303
27,7.3,7.2,0.8,985
27.3,7.6,7.2,0.6,1163
27.9,6.4,6.8,0.5,575
27.8,7,6.6,0.6,578
27.8,6.7,6.8,1.2,625
28.3,6.7,6.6,0.9,838
27.5,5.6,6.9,1.5,1925
26.3,7.4,7,0.9,1196
27,6.7,6.9,1,2750
27.4,7.1,7.3,1.5,1775
27,6.2,6.8,1.6,2725
27.4,5.2,6.8,1.8,2650
27.3,6.8,6.9,1.1,1258
27,6.8,6.9,0.9,198
27.8,6.2,6.6,0.7,1630
28.4,4.5,6.5,1.1,2675
28.8,4,7,0.9,233
28.8,7,7.4,1,660
25.9,6.5,6.8,0.5,1026
28,4.6,6.9,0.6,348
28.5,6.6,7.3,0.6,2210
28.8,7.1,7,1,1700
27.6,6.2,7.5,1.1,528
27.6,6.2,7.7,1.3,312
28.3,7.3,7.1,2.9,185
27.5,7.7,7.4,1.4,1255
30.5,6.5,7.3,1,420
29.5,6.9,7.4,1,409
22.3,7.5,8,1.9,6858
22.3,7.2,8,3.7,14725
25,7,7.6,1.6,2743
25.9,7.5,7.9,1.5,3542
25.9,7.1,7.7,2.3,6692
24.8,7.4,8,1.7,6617
27.5,8.1,8,2.3,4569
28,7.8,8,2.1,739
25,7.4,8,1.5,2872
25.8,7.2,8,1.4,1850
26.8,6.5,8.1,1,NAN
31,3,8.1,NAN,NAN
32,6.9,8.2,NAN,NAN
31,6,8,NAN,NAN
28,4.8,7.7,NAN,NAN
28.4,6.3,7.6,1.8,2020
24,7.4,7.6,1.2,NAN
NAN,6.9,7.8,3.4,NAN
24.8,5.8,7.2,8.5,4838
24,5.6,7.4,15.3,41500
25,5.4,7.3,10,8975
23.3,5.7,7.3,14.3,52500
25.8,5.7,7.5,24,17625
25.8,3.5,7.4,20,14500
25.8,3.2,7.6,27.3,40250
26,4.7,7.3,32.8,42875
26,4.8,7.4,16,8025
24.4,5.3,7.5,18.3,63500
23.4,5.6,7.5,34.5,60000
24.3,5.4,7.4,22,35000
17.7,6.1,6.8,14.7,NAN
17,6.1,6.8,14.7,NAN
17.3,6,7,15.3,NAN
28,4.8,7.9,3.2,62
32,5,7.3,2.8,20
21.4,8.3,7.6,1,16
22.3,8.2,7.7,1.2,20
18.3,3.1,7.8,195.4,NAN
22.8,8.3,7.6,1.2,20
21.8,5.5,7.6,7.6,166
26.9,5.1,7.8,1.7,23
27.3,5.3,7.8,1.7,NAN
19,8.7,7.1,4.9,10
26,5.1,7.2,1,10
19,10,7.4,0.6,5
21.8,5.9,7,1.6,74
22.3,6.1,7.3,1.4,63
22.3,5.6,7.1,1.4,175
22.3,4.7,7,1.9,42
23,5.5,8.6,4.5,113
23,6.8,6.8,1.5,23
23,7,7.4,1,5
23,7.3,7.8,1.2,10
22,5.5,7.3,1.2,75
22.3,4.7,7.4,1.6,140
27,4.9,7,1.2,10
30,5.8,7.8,6.2,95
23,5.8,7.4,1,37
23,6.2,6.9,2.1,8
22.7,5.5,7.7,1.2,202
23,5.1,6.9,2.3,33
23.5,5.2,7.1,2.8,20
23,4.6,7,2.8,18
23.5,5.6,6.6,1.9,23
23,1.9,6.8,15.3,1075
23,2.5,7.1,16.7,682
22.5,5.5,6.9,2.8,10
23,6,7,4.2,10
22.5,4.9,6.9,3.6,25
20,4.8,7,2.8,NAN
22.7,5.4,7.2,1.1,78
26,6,7.5,1.1,10
19,5.6,7.1,4.4,15
22.5,5.7,6.9,2.3,53
18.9,9.9,7.1,1,35
21,6.1,7.6,4.5,25
22.5,5.1,6.9,2.5,10
23,3.8,7,3,23
24.4,7.8,7.2,1.9,359
21.8,6.5,3.1,6.1,47
20.8,7.3,7,2.2,2633
25.2,7.8,7.1,1.9,409
24,7.7,7.1,7,461
23.4,8.1,7.1,1,12
23.4,8,7,1.1,18
23.2,6.9,7.2,1.1,37
23.3,6.8,7.1,1.3,29
28.4,6.6,7.8,1.8,340
28.6,6.3,8,3.4,528
28.5,6.6,7.9,4.4,648
29.9,5.6,7.5,25,5
29.9,3.7,7.5,13.5,NAN
29.8,4.7,7.6,21.5,NAN
30.2,5.8,7.8,NAN,NAN
29.7,6.6,7.7,NAN,350
30.1,6.6,7.4,NAN,NAN
30.3,6.2,7.8,NAN,NAN
29.8,5.8,7.7,NAN,4
26,5.1,8.1,3.7,7500
27,7.1,8,2,15000
27,6.8,8.2,3.1,23000
29.3,8.1,7.6,8.6,108
28.4,6.2,7.8,2.7,6581
32,NAN,7.2,46,330
28.3,3.2,7.7,6.3,9575
29.3,6.6,6.5,1.8,53
28.8,6.6,6.6,1.5,98
29,6.3,6.6,1.8,140
28.8,6.4,6.4,2,153
27.3,6.9,6.2,1.7,117
28.3,7.2,6.1,2.6,123
29,6.9,6.6,1.9,173
27.6,7,6.3,1.6,139
28.8,7.6,6.2,1.1,160
28.3,7.1,6.2,1.4,141
27.8,6.8,6,1.9,136
28.5,7.1,6.2,1.4,119
28.1,6.3,6.2,1.5,157
29,6.2,7,1.8,173
29.5,6.2,6.8,1.7,145
30.2,6.9,6.5,1.4,107
28.3,6.7,6.2,0.9,187
28.7,6.8,7.9,3.5,517
26,7,7.7,3.2,17
NAN,6.9,7.3,3.4,NAN
NAN,7.4,7.2,3,NAN
24,7,7.4,4,350
32.1,5.5,8.1,8.4,69
30.3,6.9,7.5,3.6,582
30.1,6.4,7.4,37.8,728
28.8,5.2,7.9,9.5,253
28.7,6.9,7.4,3.5,659
29,3.4,7.4,31.5,1767
28.5,7.4,8.1,2.2,75
27.7,6.7,7.4,3.7,820
28.6,6.6,7.5,3.9,381
27.1,6.1,7.3,5.1,212
27.1,6.6,7.4,3.6,361
27,6.5,7.3,3.8,261
26.8,6.7,7.3,3.4,318
26.8,6.6,7.4,3.7,217
26.4,6.8,7.7,3.6,109
22.1,6.3,7.5,2.9,101
22.3,7.1,7.4,2.2,80
22,6.7,7.5,2.5,113
22,6.6,7.5,2.4,113
22,6.7,7.8,2.4,90
28.2,7.1,7.7,3.1,92
28.2,7.1,7.9,3.1,86
28.3,7.1,7.8,3.3,83
NAN,7.2,7.5,4,NAN
26.3,6.4,7.7,3.6,592
26.1,7,7.7,3.4,359
26,6.6,7.6,3.4,243
NAN,7.5,8.2,3.5,NAN
27.6,6.9,7.5,2.2,71
27.6,6.8,7.7,2.3,74
27.3,7,7.7,2.1,64
27.4,5.2,6.6,1.5,4613
27.3,7.2,6.8,1.1,3483
26,7,7.1,0.5,617
26.2,7,7.1,0.6,455
27.5,7.2,7,0.6,522
28.1,6.7,6.9,1.2,2193
28.2,6.5,6.5,1.1,3080
27.6,0.6,7,14.1,17500
28,6.6,6.8,0.9,913
24.3,6.8,7.3,0.6,935
25.8,7.3,7.4,0.6,430
27.8,6.5,6.7,1.2,4823
26.3,7.2,6.5,0.9,1825
28.5,7.4,6.9,0.9,1455
29.3,6.5,6.5,1,900
27.6,6.6,6.9,0.9,650
28.1,7.1,7,1,1485
27.8,7.5,6.8,1.3,540
28.1,5.4,6.7,0.9,810
26.6,7,6.9,0.7,900
27.8,7.1,6.9,0.6,583
29.3,6.5,6.7,0.9,800
28,6.7,6.6,0.8,900
23.8,7.1,6.8,0.6,198
26.3,6.9,7.1,0.5,373
27.9,6.7,6.8,1,250
28.4,6.2,7,1.4,1600
27.1,7.5,7.3,0.8,2225
28.5,7.6,7.3,1,2180
28.1,2.2,6.4,2.3,6505
26.4,7.4,6.7,0.7,1088
27.1,7,6.8,0.7,640
26.9,5.3,6.9,1.3,685
28.6,6.3,7,0.7,535
27.9,6.7,7,0.5,433
28.4,6,6.4,1.4,303
29,4.2,6.6,1.7,385
28.8,5.1,6.7,1.9,713
27.8,5.3,6.4,1.1,788
28.5,6.9,7,0.9,803
26,2.8,7.4,1.6,2300
26.5,5.3,7.2,0.9,2650
28.4,6.5,5.8,0.4,520
28.1,6.9,6.1,0.6,183
26.8,7,6.6,0.8,418
28.6,5.6,6.4,1,278
28.1,6.8,6,0.5,910
29,6,5.9,1,195
28.8,6.3,7,1.4,1400
28,6.5,7.6,1.1,354
27.4,6.4,7.7,1.1,357
28.8,7.3,7.3,4.2,185
30.8,6.8,7.8,1.9,460
28,7.5,8.1,2.1,5850
27.3,7.7,8.1,1.6,4450
29,7.6,7.9,1.4,1985
24.5,7.5,7.9,1.8,2425
24.8,7.4,7.7,1.9,2675
25.3,6.7,6.9,1.2,1823
26.8,7.1,7.9,1.4,2098
29,6.7,7.9,1.1,1510
29,7.4,8.8,2,NAN
28,6.4,8.3,2,NAN
28,6.9,8.8,4,NAN
28,6.3,6.6,NAN,NAN
24.8,7.4,7,1.6,118
27.2,7.2,6.8,1.8,148
27.3,6.6,7,2.5,374
28.4,6.9,7,1.9,157
26.8,7,6.9,1.7,144
25.2,7.2,6.9,1.5,128
28.4,6.9,7.2,2.3,196
28.2,6.4,7.6,3.3,379
24,7.6,6.6,2,140
29,6.9,7.2,1.9,170
25,6.8,6.7,2.1,500
25,6.6,6.9,2.3,280
15,6.5,7.6,18,NAN
23.5,6.1,7.8,16,NAN
NAN,6.5,8.4,2.7,NAN
15,6.9,7.8,18,NAN
20.3,5.6,6.7,10.8,7500
20,4.9,6.8,26.5,46250
20,4.9,6.6,13.1,9500
19.8,5.2,6.7,28,57500
32.7,3.3,7.9,1.3,12
34.5,4.9,8,1.2,8
19.8,5,6.9,25.5,48750
27,4.8,7.8,534.5,5000
20.5,4.7,6.7,25.3,47500
20.5,5.4,6.8,15.4,21750
20.5,5.1,7.6,26.5,49250
21,4.2,7.6,31.8,46500
20.3,4.8,6.6,15,10500
20,4.5,6.6,30.3,42750
20,4.7,6.7,26.8,31500
21.3,5.2,7.3,0.9,9
22.1,7.8,8.2,1.2,32
22.33,6.7,8.12,1.53,29
21.5,8,8.1,0.8,25
24,4.88,7.94,2.65,165
22,5.67,7.02,1.67,22
24,6,6.9,2.23,91
23,6.15,7.45,2,222
23,2.7,7.35,8.45,636
24,2.98,7.52,5.53,531
24,5.48,7.42,2.08,136
23,5.13,7.46,2.23,211
25,7.85,7.13,6.68,488
24,6.58,6.5,5.93,60
20,7.58,7.03,2.08,2900
24,8.23,7.05,1.4,323
25,8.23,7.38,1.55,360
22,6.6,7.3,1.3,242
22,6.8,7.2,1.5,97
23,6.8,7,1.5,45
23,6.4,6.7,1.4,205
28,6.5,7.7,1.6,390
28,6.2,7.7,3.5,592
29,6.3,8,4.2,686
28,7.3,7.4,0.7,12
29,6.5,7.5,16.4,37
30,6.1,7.3,12.5,902
30,6.3,7.4,136,698
30,5.9,7.5,56.5,1800
30,6.6,7.8,NAN,1800
30,6.2,7.4,8,1075
30,6.7,7.7,4,947
33,6.8,8,21,1800
30,5.9,7.4,12,607
28,7.3,7.4,0.7,12
30,5.7,8,7.4,28666
30,4.7,8.3,3.7,21333
28,5.8,7.8,3,25000
30,2.5,7.5,6,85
30,6.1,8.1,3.2,23625
30,0.6,7.1,36.5,15425
27,3.2,7.8,5.8,1366
30,4.2,8.2,6.7,21500
28,2.9,8.3,5.6,148
29,5,7.7,3.1,114
31,7.2,6.3,1.6,17
29,5.5,7.8,1.3,5
30,6.2,6.9,1.3,17
29,6.5,6.8,2.3,8
24,8.1,7.7,2.6,130
27,7.8,6.4,2.3,70
27,7.8,6.4,2,17
28,7.2,6.5,1.6,46
27,4.2,7.6,0.7,8
26,6.5,6.4,1.6,13
28,7.4,6.9,2,10
28,5.4,7,1.7,48
27,6.6,7.2,1.9,175
29,5.1,7.5,2.3,1754
29,7.3,6.8,2.5,162
28,7.2,6.9,2.2,206
28,7,6.8,3,126
28,5.5,7.7,7.6,800
29,6.9,7.6,3.8,309
29,6.9,7.7,3.9,280
28,6.7,8,3.6,143
26,6.9,7.3,3.8,257
29,6.8,7.5,3.8,199
29,6.9,7.3,2.2,56
34,3.3,7.6,19.4,1536
32,5.4,7.2,11.7,512
22,6.2,7.2,2.5,127
26,7,7.4,3.8,375
35,6.6,8.1,3.9,345
28,8.1,6.3,1.1,690
27,6.9,6.8,0.8,1487
27,6.9,6.9,0.5,703
26,6.7,6.9,0.6,715
27,7.3,7,0.7,445
28,6.7,6.7,1.3,1025
29,6.5,6.6,1.2,679
26,0.7,6.6,12.5,59417
27,6.9,6.5,1,1083
28,6.4,6.6,1,603
26,7.2,6.7,0.8,1400
29,6.8,7.1,1.5,485
28,6.1,6.7,0.9,1113
27,6.8,7,0.6,434
28,7.1,7,0.8,890
27,7.4,6.6,0.7,1425
26,6.4,7,0.8,493
26,7.2,6.7,0.9,2150
27,6.2,7,0.6,505
29,6.1,6.7,1.4,1450
28,6.6,6.5,0.8,650
26,6.9,6.7,0.3,180
27,7.3,6.5,0.5,400
28,6.2,6.6,1,360
29,5.2,7.1,1,918
28,7.4,7,1.1,1933
28,7.6,6.7,1.1,963
28,2.9,6.3,2,913
26,6.6,6.7,0.7,1655
26,6.4,6.7,0.7,1630
26,5.4,6.6,0.9,1913
27,6.2,7,0.9,289
27,6.9,7.1,0.5,246
28,6.7,6.5,0.9,500
28,5.7,6.7,1.9,473
28,6,6.9,1.8,500
28,5.2,6.1,1.1,820
28,7.4,6.4,1.2,720
27,3.5,7.3,1.3,1290
27,6,7.1,1.1,1465
28,6.4,6.1,0.7,425
27,6.6,6.3,1,385
27,7.1,6.4,0.9,275
28,6.4,7.1,0.8,195
28,7.3,6.2,0.9,340
29,6.8,6.5,0.8,100
28,6.4,6.7,2.2,1055
27,5.8,6.5,1.5,2788
28,5.2,7.2,1.2,2275
27,7.7,6.8,0.9,2257
28,5.7,7.2,1.4,2785
25,6.7,6.3,1.2,2807
28,6.4,6.4,1.2,303
27,6.2,7.6,0.4,1400
27,6.8,7.5,0.4,918
27,7.1,7.6,0.5,1675
28,5.9,6.7,1.7,428
28,5.8,6.5,1.5,876
29,4.7,6.6,1.8,1083
28,6.5,6.6,1.2,689
28,1.4,6.2,2.2,882
28,1.5,6.3,1.5,1225
28,7,7.5,1.1,83
30,7.7,8.1,1.9,3025
30,7.5,7.9,1.3,868
28,7.2,8.2,1.7,4275
28,7.6,8.1,1.5,4175
28,7.3,8,1.3,2175
27,7.4,8,1.9,5975
27,7.2,7.7,2,2750
29,7.2,7.8,1.3,690
28,7,8.1,1,1525
29,7.4,8.1,1.7,1105
33,7.7,7.8,4,NAN
33,7.1,7.6,3,NAN
33,6.8,7.4,7,NAN
28,5.1,8.4,3,NAN
21,7.6,7.9,2.6,NAN
24,7.4,6.8,1.3,208
28,7.5,6.7,1.3,176
28,6.9,6.8,2.4,357
30,7,7,1.5,191
27,7.2,6.7,1.6,167
26,7.4,6.7,1.6,150
29,7.5,7.2,2.1,338
26,6.7,7.4,2,253
27,7,7.2,9.5,189
28,6.4,7,1,507
29,6.6,7.1,1.5,544
28,6.5,7.9,0.9,32
22,6,7.3,6,4950
21,4.9,7.4,14,75000
22,6.4,7.1,8.5,NAN
20,5.6,8.1,11.5,NAN
22,5,6.7,7.5,9000
21,5.6,7.3,14,70000
20,5.7,7.4,9.5,25500
21,5.3,7.4,10,52500
21,4.8,7.4,19,75000
23,2.9,7.3,13,27500
21,4.5,7.2,10.5,12000
20,4.8,7.5,10,70000
24,3.1,7.6,11.5,75000
25,3.1,7.6,10,62500
28,1.9,8.4,354,NAN
28,7,7.8,2.5,NAN
16,7.2,6.2,8,NAN
22,5.475,7.82,6.9,249
23,4.8,7.3,0.8,7
23,7.6,7.5,1.5,153
23,8.4,7.4,1.4,36
23,9,7.8,1.3,77
25,8.7,7.4,1.5,132
25,1.9,7.3,9.9,525
25,7.7,7.3,10.4,603
25,7.9,7.6,1.3,115
26,8,7.6,2.5,85
25,7.4,7.6,1.8,148
23,8.3,7.7,2,75
18,9.6,7.1,4.4,460
19,8.8,7.2,0.9,205
24,7.4,7.8,0.9,295
24,7.5,7.8,1.2,56
26,8.1,7.8,1.3,33
26,7.9,7.5,1.8,90
28,6.6,7.7,1.3,322
29,6.3,7.6,2.8,577
28,5.7,7.8,3.4,608
21,6.4,7.025,3.175,2925
25,8.35,7.125,1.525,355
24,8.45,6.95,1.2,312.5
NAN,NAN,7.6,NAN,NAN
25,7.2,7.8,0.28,50
25,4.9,7.4,9.7,29
27,5.1,7.8,2.73,137000
28,6,8.2,2.28,68650
30,6.1,8.1,1.9,38667
27,1.1,7.8,7.67,77
29,6.8,8,2.8,49061
25,4.5,7.6,7.43,259
25,6,7.3,5.58,31
30,0,7.1,46,9000
28,2.8,7.9,5.93,358000
29,5.6,8,2.13,1693
28,4.1,7.9,16.5,116
29,6.3,7.9,1.83,188
30,6.6,7.8,2.25,13
28,6.8,7.1,1.65,33
27,6.5,7.5,4.55,44
28,7.1,8,1.25,7
26,7.6,7.3,0.95,350
26,7.4,7,2.45,809
27,7,7.3,1.5,42
29,5.4,7.3,1.8,2400
28,6.7,7.2,1.4,22
28,6.8,6.9,1.9,53
25,5.6,6.8,1.9,137
28,5.2,7.2,1.65,144
26,6.2,7.1,2.1,2400
31,3.6,7,2,170
30,6.8,7.2,2.6,110
28,8.1,7.1,3.2,5400
26,6.3,7.6,3.67,781
27,6.4,7.6,3.4,316
27,5.9,7.2,4.04,223
25,5.3,7.7,3.25,296
26,6,7.8,5.43,1050
22,6.6,7.2,4.5,737
22,6.8,7.2,3.9,1036
27,6.7,7.6,4.13,624
29,5.2,7,16.3,1008
21,6.9,6.6,1.96,104
32,0.7,7.3,45.6,1259
23,6.8,6.6,2.13,106
29,6.2,6.5,1.5,816
28,7.3,6.6,0.6,1056
28,6.4,6.7,1,1179
28,5.1,6.8,1.6,1680
28,6.8,6.7,1.3,1748
27,6.3,6.3,0.9,2865
28,7.2,6.7,1.1,753
27,6.8,6.9,0.4,508
27,6.8,7,0.4,427
29,7.7,7.2,1,452
29,7.1,6.8,1.5,681
29,6.6,6.3,1.2,935
26,1.8,6.8,5.5,31167
26,6.7,6.2,0.6,1100
26,5.8,6.3,1.1,1200
26,5.1,6.3,1,1600
26,6.6,6.2,0.6,925
27,6.6,6.4,0.7,975
27,6.7,6.4,0.5,1175
26,6.6,6.3,0.6,1010
27,5.9,6.4,0.7,985
27,7.6,6.7,0.7,1575
27,6.5,6.7,0.8,775
29,7.3,7.4,0.7,940
27,6.3,6.7,0.7,702
26,6.9,6.6,0.4,28
27,6.8,6.7,0.4,150
29,5.9,7.1,0.7,393
28,6.4,7.1,1,1865
28,7.3,6.7,0.9,920
28,7.6,6.6,0.5,503
30,2.4,6.7,2.1,660
27,7.1,6.8,1.2,1600
27,6.4,6.7,0.5,3200
27,3.5,6.9,0.7,800
28,7.4,7.3,0.8,920
28,6.8,6.9,0.9,470
27,5.5,6.5,1.9,2100
31,5.4,6.5,4,680
30,4.8,6.8,1.1,1090
28,5.8,6.3,0.7,1500
27,7.3,6.6,0.4,883
28,5.8,7.5,0.8,1000
28,6.2,6.7,0.5,1100
27,7.3,6.1,0.7,1050
27,7.6,6.3,0.5,2588
25,7.7,6.6,0.3,1300
28,5.4,5.9,0.8,1375
28,7.4,6.1,0.9,1050
28,6.6,5.9,0.7,1725
28,6.5,6.5,0.7,1850
27,7.2,5.9,0.8,1500
29,6.3,6.5,1.1,1550
27,7.6,6.6,0.6,3000
27,7.3,6.5,1.4,2850
27,7.5,7,0.8,2800
26,4.4,7.3,0.4,1090
27,6.8,7,0.4,560
29,1.7,6.2,3,2208
29,3,6.1,2,1240
28,6.9,7.8,0.89,5874
32,7.7,8.1,1.83,3175
32,6.8,7.8,1.65,775
28,7.5,8.2,2.5,4300
26,7.6,8.1,1.35,3200
26,7,7.6,0.25,NAN
25,7.6,6.6,1.15,180
27,6.8,6.6,1.88,253
28,6.8,6.7,2.14,402
28,6.9,7.1,1.78,200
27,7.3,6.6,1.27,150
26,7.4,6.7,1.03,173
28,7.2,7.2,2.28,415
27,6.8,7.6,2.25,699
26,6.9,7.3,4.33,858
29,7,7.3,1,707
31,7,7.3,1,81
30,7.7,8.1,1.1,10
23,8,8.2,0.5,26
24,3.8,7.8,155.6,NAN
23,4.9,7.8,3.5,375
20,5.9,7.2,5.4,21000
21,5.3,7.4,27,217500
30,6.7,6.9,17.1,NAN
30,6.2,7,22.3,NAN
21,5.7,7.3,10.7,45500
21,5,7.2,26.1,135000
20,5,7.3,7.4,90000
20,5.1,7.2,13.5,122500
21,4.5,7.2,23.8,232500
21,4.4,7.2,18.1,70000
20,4.5,7.4,22.7,78333
21,5.2,7.5,28.5,155000
21,5.5,7.6,27.8,392500
21,5.6,7.6,25.8,712500
25,6.4,7.9,4.1,NAN
31,6.8,7,25.3,NAN
21,5.4,7.8,1.7,6
27,7.9,6.7,1.2,135
26,6.2,7.3,1.8,113
27,8.2,7.6,1.9,135
28,6.6,7.4,1.2,91
26,7.9,7.8,0.8,73
29,9,8,1.8,155
28,NAN,8,NAN,NAN
30,9.6,7.6,NAN,30
27,3.2,6.8,26,633
28,5.5,7.5,24,383
19,5,3.2,7,33
26,7,7.8,0.65,3
26,7.2,7.8,0.93,3
25,6.6,8,0.98,6
25,6.7,7.9,1.03,8
28,6.1,7.7,1.36,350
29,5.4,7.3,2.67,510
28,5.8,7.8,2.93,588
NAN,NAN,7.6,NAN,NAN
25,7,7.7,0.4,42
25,4.8,7.5,8.8,65
27,4.9,7.7,3.6,32750
28,6.4,8,2.4,22825
29,6.7,7.9,2.9,21000
28,5.7,7.6,4.2,57
30,6.2,8,3.1,16500
26,4.8,7.6,10.4,148
27,6.2,7.4,3.6,41
27,NAN,7.5,359,14
27,4.2,7.8,4,50250
30,6.8,7.5,2.5,1114
29,6.5,6.9,1.5,1331
29,6.5,7.1,1.6,2056
29,6.4,7.7,2.3,1287
27,7.2,7.2,1.6,2887
28,7.2,6.8,2.1,10403
28,7.4,7.1,1.4,1010
28,7.2,6.9,1.3,1938
29,7.4,7,2,1451
28,6.3,6.6,1.6,3293
26,6.4,7.3,4,753
27,6.7,7.4,3.9,644
28,6.6,7.5,3.7,169
28,5.7,7.2,5.3,456
25,6.4,7.1,3.9,400
25,6.6,7.2,3.9,1146
22,6.2,7.3,4,638
28,5.5,6.6,1.7,668
27,7.5,6.8,0.8,738
28,6.7,6.8,1,804
28,6.9,6.7,0.5,1242
28,6.8,6.9,0.5,813
29,7.4,7.2,1.1,641
28,7.2,6.8,1.5,556
29,6.8,6.6,2,635
28,0.8,6.8,7.4,20733
26,7.1,6.1,0.6,1975
26,5.9,6.2,0.5,1775
26,5.1,6.2,1.1,2000
26,6.7,6.2,0.7,2100
26,5.8,6.2,0.6,1625
26,6.4,6.2,0.7,1900
26,6.6,6.3,0.6,1442
26,5.4,6.2,0.7,1825
28,6.7,6.7,1.3,3050
27,6.4,7,1.4,5725
29,6.3,7.1,1,1080
28,6.2,6.5,0.8,2550
28,6.9,6.4,0.5,285
27,6.8,6.5,0.5,435
28,6.6,6.9,0.7,963
28,7,7.2,0.3,550
28,7.5,6.9,0.5,685
28,7.4,6.8,0.3,725
29,2.8,6.6,2.3,645
28,6.2,7.6,0.5,24583
30,7.9,7.9,2.1,2700
28,8.1,8,1.7,463
30,7.2,7.7,1.2,1793
32,6.7,7.6,1.5,3133
29,7,8.1,3.5,NAN
26,7.5,6.5,1,319
28,6.8,6.5,0.9,233
29,6.8,6.5,1.8,507
32,7.8,7.2,1.9,249
28,7.2,6.4,1.2,165
27,7.4,6.5,1.5,189
31,7.6,7.1,2.5,443
28,6.8,7.2,2.1,348
27,7.3,7.3,2,998
28,6.9,7.2,1,55
29,7,7.2,1,16.5
22,7.9,7.9,2.5,24
18,3.9,7.9,74.8,NAN
24,4.9,7.6,19.6,718
20,7.4,7.5,2.1,10775
21,6.1,7.8,8.1,162500
24,4.9,8.1,26.3,NAN
26,4.5,8.3,25.3,NAN
21,6.7,7.6,7.4,78750
21,6.3,7.7,7.3,125000
22,6.4,7.7,4.2,440750
22,6.5,7.7,9.8,105000
21,6.4,7.8,13.8,227500
22,6.3,7.7,8.2,622500
21,6.2,7.6,3.7,49000
21,6,7.8,9.6,117500
21,5.9,7.8,11.1,222500
21,5.9,7.7,10.4,967500
22,6.5,8.2,2.2,NAN
25,6.6,8.2,26.3,NAN
29,NAN,7.2,50,NAN
30,NAN,7.4,50,NAN
29,1,7.3,49.7,NAN
19,5.6,7.4,2.2,16
25,6.7,7.9,0.4,3
25,6.5,7.9,0.6,3
24,7.3,7.8,0.5,NAN
24,7.7,7.9,0.4,15
23,6.2,7,1.6,102
23,6.4,7.4,2.1,58
23,6.4,7.6,1,36
23,7,7.6,2.4,137
