Temp,DO,PH,BOD,Tot_col,WQI
30.6,6.7,7.5,1.8965,27.0,46.59730139830508
29.8,5.7,7.2,2.0,8391.0,63.494076349829555
29.5,6.3,6.9,1.7,5330.0,48.045459906049544
29.7,5.8,6.9,3.8,8443.0,91.75876249423374
29.5,5.8,7.3,1.9,5500.0,60.117939429363815
30.0,5.5,7.4,1.5,4049.0,57.13067359165425
29.2,6.1,6.7,1.4,5672.0,48.24675775771542
29.6,6.4,6.7,1.0,9423.0,39.743655143878144
30.0,6.4,7.6,2.2,4990.0,60.616355389965236
30.1,6.3,7.6,2.3,4301.0,63.06296503201553
27.8,7.1,7.1,1.2,7817.0,33.52718560457446
27.9,6.7,6.4,1.4,3433.0,44.60663775638923
29.3,7.4,6.8,1.7,18125.0,43.95731388937955
29.2,6.9,7.0,1.1,6300.0,30.234597339084207
30.0,6.0,7.5,1.6,9517.0,57.08379384997517
29.0,7.3,7.0,1.5,2453.0,30.119059131438007
29.1,7.3,7.0,1.0,3048.0,21.825756215499588
28.7,7.0,6.9,1.2,6742.0,32.86295115026714
28.7,7.3,6.7,1.5,3052.0,34.54755448947389
29.5,5.3,6.8,1.8,10250.0,66.3210189526781
29.0,6.3,6.4,1.6,12842.0,57.451123567044675
29.4,5.4,7.6,1.4,6367.0,60.70780937849629
28.3,2.2,6.5,4.7,14920.0,158.14877426316542
30.1,5.2,7.1,2.6,8925.0,79.0573992356947
30.3,5.6,7.5,1.8,5082.0,62.675326800842996
30.5,5.5,7.4,1.5,8625.0,59.77955097802412
29.1,7.3,6.7,1.4,4003.0,32.82852288216625
30.1,6.5,7.5,2.0,1538.0,52.492804267710234
29.2,7.2,6.3,1.5,13575.0,46.3264021820975
25.1,6.6,7.8,4.9,36.0,108.0086873740939
29.6,6.9,7.9,5.0,34.0,103.0009734095489
27.4,6.8,7.7,5.2,23.0,107.7602717211416
27.8,6.7,7.8,4.9,29.0,104.55928041005234
30.6,5.1,7.3,10.3,83.0,208.24370233715518
25.0,5.6,7.9,3.6,164.0,96.96916275725228
25.0,6.4,7.6,5.7,45.0,121.24702643358863
25.0,5.5,7.4,7.7,67.0,161.6431089643769
25.3,5.3,7.7,9.9,304.0,204.73178718525614
25.1,6.7,7.6,4.8,76.0,102.95190616830811
26.1,3.6,7.4,31.3,474.0,582.736051632561
21.4,7.2,7.7,3.1,130.0,73.86765218550521
27.4,5.9,7.4,6.4,68.0,134.4941658605708
27.1,5.4,7.5,7.4,116.0,158.30491473314325
27.2,5.8,7.3,5.4,78.0,117.47302566726927
27.3,5.9,7.4,5.1,60.0,112.41937359208241
27.0,6.0,7.3,8.5,58.0,168.1503093127829
27.2,6.1,7.3,6.1,63.0,126.11314195916192
27.0,5.9,7.4,6.4,47.0,134.68595438150464
22.6,6.3,7.8,4.6,32.0,107.28110530604017
28.4,6.7,7.3,3.5,0.0,74.08503032893148
28.0,6.8,7.2,3.1,0.0,65.36369197393064
27.6,6.8,7.3,3.3,0.0,70.3990665206511
27.9,6.9,7.3,3.3,0.0,68.94900259047424
28.1,6.9,7.3,3.4,0.0,70.41941842087344
27.1,6.8,7.9,4.9,28.0,105.36950296581138
27.6,6.6,8.1,4.6,32.0,104.37234357391209
27.3,6.7,8.0,5.0,33.0,109.16393604430382
27.8,6.7,7.8,4.9,35.0,104.56300041005234
28.0,5.9,7.7,5.5,51.0,122.45229932029866
28.1,6.3,7.6,4.6,31.0,101.30619049849236
28.6,6.6,7.6,4.7,31.0,99.08397089307645
26.9,6.8,7.7,5.0,34.0,104.8737141444125
23.0,7.1,7.4,2.7,30.0,62.86698152637656
23.0,7.0,7.4,2.7,40.0,63.75565542194593
23.0,7.2,7.2,2.7,70.0,59.60664096414052
25.1,6.7,7.5,1.4,420.0,44.107186168308104
24.6,5.8,7.4,1.4,691.0,52.05954278123434
25.7,6.6,7.5,1.4,448.0,44.62639327724442
24.8,6.7,7.5,1.4,443.0,44.365958642835025
27.3,6.7,6.9,0.9,172.0,28.6697827109705
27.5,6.5,6.7,1.2,304.0,38.27204517034895
25.2,6.3,6.9,1.6,2008.0,47.535519904224856
29.9,7.0,7.4,0.7,590.0,22.498672514689364
29.8,6.6,7.7,1.6,661.0,46.62017737103899
27.8,6.9,6.9,1.1,531.0,29.55302634064673
26.7,7.0,7.5,0.8,3583.0,31.280628558295515
25.8,6.7,7.4,0.8,1969.0,33.06475277465009
26.4,7.2,7.4,0.7,1311.0,25.206326127277737
29.8,7.5,7.2,1.1,590.0,20.779858392248414
28.6,3.0,6.6,1.7,530.0,88.13174471698775
26.9,5.9,7.4,0.7,2803.0,39.44984373887292
26.0,6.7,7.5,1.6,473.0,46.77721796686152
23.6,6.1,7.4,2.0,550.0,59.81931213588211
30.3,6.7,6.9,1.7,350.0,39.04049038016625
30.7,6.9,6.8,1.6,206.0,35.2828267266878
28.7,2.1,6.8,1.6,694.0,94.86382549877929
28.2,2.5,6.9,1.9,656.0,93.2386595298594
24.8,7.2,7.6,1.4,426.0,40.74242804759042
26.3,3.7,7.7,1.2,60392.0,110.39668406777558
29.2,6.1,7.6,1.2,718.0,45.375944424382084
26.6,6.7,7.6,0.5,71.0,28.470672793505923
30.4,7.6,7.1,1.2,961.0,19.09993420792518
25.5,1.9,7.7,26.9,37375.0,550.8644262692821
25.1,7.4,7.0,0.1,409.0,9.131297727807526
28.9,6.4,7.2,1.3,535.0,38.805116840163876
28.8,5.4,6.7,1.1,144.0,48.30190338568172
29.3,5.6,7.3,1.6,705.0,54.58747013901156
29.5,7.1,8.0,1.2,697.0,37.61893933541337
28.4,5.9,6.8,1.5,166.0,48.22730860551275
26.9,7.4,6.9,1.1,159.0,24.95486997032779
25.8,7.2,7.2,0.7,658.0,23.087395355429518
26.6,6.5,7.4,0.6,7018.0,34.185010504073865
25.3,6.8,7.1,0.8,1268.0,28.464669778203707
28.2,6.8,6.9,1.7,660.0,40.527230205167896
28.5,6.6,7.0,1.4,822.0,36.31361508856263
27.6,6.4,7.7,0.6,88.0,33.75616729383975
29.0,7.3,6.9,1.9,825.0,37.117699131438
27.5,6.8,6.6,0.5,2950.0,25.888144871085423
