Temp,DO,PH,BOD,Tot_col,BOD_log,Tot_col_log
30.6,6.7,7.5,1.8965,27.0,1.0635031115545417,3.332204510175204
29.8,5.7,7.2,2.0,8391.0,1.0986122886681098,9.035034150076132
29.5,6.3,6.9,1.7,5330.0,0.9932517730102833,8.581294116822761
29.7,5.8,6.9,3.8,8443.0,1.5686159179138452,9.041211408968211
29.5,5.8,7.3,1.9,5500.0,1.0647107369924282,8.612685172875459
30.0,5.5,7.4,1.5,4049.0,0.9162907318741551,8.306472160100585
29.2,6.1,6.7,1.4,5672.0,0.8754687373538999,8.643473357326567
29.6,6.4,6.7,1.0,9423.0,0.6931471805599453,9.151014905891367
30.0,6.4,7.6,2.2,4990.0,1.1631508098056809,8.515391569469609
30.1,6.3,7.6,2.3,4301.0,1.1939224684724346,8.366835309827675
27.8,7.1,7.1,1.2,7817.0,0.7884573603642702,8.9641840463529
27.9,6.7,6.4,1.4,3433.0,0.8754687373538999,8.141481041457421
29.3,7.4,6.8,1.7,18125.0,0.9932517730102833,9.805102650614726
29.2,6.9,7.0,1.1,6300.0,0.7419373447293773,8.748463629942055
30.0,6.0,7.5,1.6,9517.0,0.9555114450274363,9.160940021681055
29.0,7.3,7.0,1.5,2453.0,0.9162907318741551,7.805474625270857
29.1,7.3,7.0,1.0,3048.0,0.6931471805599453,8.022568946988255
28.7,7.0,6.9,1.2,6742.0,0.7884573603642702,8.816260208734581
28.7,7.3,6.7,1.5,3052.0,0.9162907318741551,8.023879992734878
29.5,5.3,6.8,1.8,10250.0,1.0296194171811581,9.235130540783402
29.0,6.3,6.4,1.6,12842.0,0.9555114450274363,9.460554194813056
29.4,5.4,7.6,1.4,6367.0,0.8754687373538999,8.75904072752422
28.3,2.2,6.5,4.7,14920.0,1.7404661748405046,9.610524895640422
30.1,5.2,7.1,2.6,8925.0,1.2809338454620642,9.096723645189215
30.3,5.6,7.5,1.8,5082.0,1.0296194171811581,8.533656917446903
30.5,5.5,7.4,1.5,8625.0,0.9162907318741551,9.062536177207788
29.1,7.3,6.7,1.4,4003.0,0.8754687373538999,8.295049140435111
30.1,6.5,7.5,2.0,1538.0,1.0986122886681098,7.338888133838879
29.2,7.2,6.3,1.5,13575.0,0.9162907318741551,9.516058806914062
25.1,6.6,7.8,4.9,36.0,1.7749523509116738,3.6109179126442243
29.6,6.9,7.9,5.0,34.0,1.791759469228055,3.5553480614894135
27.4,6.8,7.7,5.2,23.0,1.824549292051046,3.1780538303479458
27.8,6.7,7.8,4.9,29.0,1.7749523509116738,3.4011973816621555
30.6,5.1,7.3,10.3,83.0,2.424802725718295,4.430816798843313
25.0,5.6,7.9,3.6,164.0,1.5260563034950492,5.10594547390058
25.0,6.4,7.6,5.7,45.0,1.9021075263969205,3.828641396489095
25.0,5.5,7.4,7.7,67.0,2.163323025660538,4.219507705176107
25.3,5.3,7.7,9.9,304.0,2.388762789235098,5.720311776607412
25.1,6.7,7.6,4.8,76.0,1.7578579175523736,4.343805421853684
26.1,3.6,7.4,31.3,474.0,3.475067230228611,6.163314804034641
21.4,7.2,7.7,3.1,130.0,1.410986973710262,4.875197323201151
27.4,5.9,7.4,6.4,68.0,2.0014800002101243,4.23410650459726
27.1,5.4,7.5,7.4,116.0,2.128231705849268,4.762173934797756
27.2,5.8,7.3,5.4,78.0,1.8562979903656263,4.3694478524670215
27.3,5.9,7.4,5.1,60.0,1.8082887711792655,4.110873864173311
27.0,6.0,7.3,8.5,58.0,2.2512917986064953,4.07753744390572
27.2,6.1,7.3,6.1,63.0,1.9600947840472698,4.1588830833596715
27.0,5.9,7.4,6.4,47.0,2.0014800002101243,3.871201010907891
22.6,6.3,7.8,4.6,32.0,1.7227665977411035,3.4965075614664802
28.4,6.7,7.3,3.5,0.0,1.5040773967762742,0.0
28.0,6.8,7.2,3.1,0.0,1.410986973710262,0.0
27.6,6.8,7.3,3.3,0.0,1.4586150226995167,0.0
27.9,6.9,7.3,3.3,0.0,1.4586150226995167,0.0
28.1,6.9,7.3,3.4,0.0,1.4816045409242156,0.0
27.1,6.8,7.9,4.9,28.0,1.7749523509116738,3.367295829986474
27.6,6.6,8.1,4.6,32.0,1.7227665977411035,3.4965075614664802
27.3,6.7,8.0,5.0,33.0,1.791759469228055,3.5263605246161616
27.8,6.7,7.8,4.9,35.0,1.7749523509116738,3.58351893845611
28.0,5.9,7.7,5.5,51.0,1.8718021769015913,3.9512437185814275
28.1,6.3,7.6,4.6,31.0,1.7227665977411035,3.4657359027997265
28.6,6.6,7.6,4.7,31.0,1.7404661748405046,3.4657359027997265
26.9,6.8,7.7,5.0,34.0,1.791759469228055,3.5553480614894135
23.0,7.1,7.4,2.7,30.0,1.308332819650179,3.4339872044851463
23.0,7.0,7.4,2.7,40.0,1.308332819650179,3.713572066704308
23.0,7.2,7.2,2.7,70.0,1.308332819650179,4.2626798770413155
25.1,6.7,7.5,1.4,420.0,0.8754687373538999,6.042632833682381
24.6,5.8,7.4,1.4,691.0,0.8754687373538999,6.539585955617669
25.7,6.6,7.5,1.4,448.0,0.8754687373538999,6.1070228877422545
24.8,6.7,7.5,1.4,443.0,0.8754687373538999,6.095824562432225
27.3,6.7,6.9,0.9,172.0,0.6418538861723948,5.153291594497779
27.5,6.5,6.7,1.2,304.0,0.7884573603642702,5.720311776607412
25.2,6.3,6.9,1.6,2008.0,0.9555114450274363,7.605392364814935
29.9,7.0,7.4,0.7,590.0,0.5306282510621704,6.3818160174060985
29.8,6.6,7.7,1.6,661.0,0.9555114450274363,6.495265555937008
27.8,6.9,6.9,1.1,531.0,0.7419373447293773,6.2766434893416445
26.7,7.0,7.5,0.8,3583.0,0.5877866649021191,8.18423477409482
25.8,6.7,7.4,0.8,1969.0,0.5877866649021191,7.585788821732034
26.4,7.2,7.4,0.7,1311.0,0.5306282510621704,7.179307969504034
29.8,7.5,7.2,1.1,590.0,0.7419373447293773,6.3818160174060985
28.6,3.0,6.6,1.7,530.0,0.9932517730102833,6.274762021241939
26.9,5.9,7.4,0.7,2803.0,0.5306282510621704,7.938802248154481
26.0,6.7,7.5,1.6,473.0,0.9555114450274363,6.161207321695077
23.6,6.1,7.4,2.0,550.0,1.0986122886681098,6.311734809152915
30.3,6.7,6.9,1.7,350.0,0.9932517730102833,5.860786223465865
30.7,6.9,6.8,1.6,206.0,0.9555114450274363,5.332718793265369
28.7,2.1,6.8,1.6,694.0,0.9555114450274363,6.543911845564792
28.2,2.5,6.9,1.9,656.0,1.0647107369924282,6.48768401848461
24.8,7.2,7.6,1.4,426.0,0.8754687373538999,6.056784013228625
26.3,3.7,7.7,1.2,60392.0,0.7884573603642702,11.008628483166937
29.2,6.1,7.6,1.2,718.0,0.7884573603642702,6.577861357721047
26.6,6.7,7.6,0.5,71.0,0.4054651081081644,4.276666119016055
30.4,7.6,7.1,1.2,961.0,0.7884573603642702,6.8690144506657065
25.5,1.9,7.7,26.9,37375.0,3.32862668882732,10.5287840661879
25.1,7.4,7.0,0.1,409.0,0.09531017980432487,6.016157159698354
28.9,6.4,7.2,1.3,535.0,0.832909122935104,6.284134161070802
28.8,5.4,6.7,1.1,144.0,0.7419373447293773,4.976733742420574
29.3,5.6,7.3,1.6,705.0,0.9555114450274363,6.559615237493242
29.5,7.1,8.0,1.2,697.0,0.7884573603642702,6.548219102762372
28.4,5.9,6.8,1.5,166.0,0.9162907318741551,5.117993812416755
26.9,7.4,6.9,1.1,159.0,0.7419373447293773,5.075173815233827
25.8,7.2,7.2,0.7,658.0,0.5306282510621704,6.490723534502507
26.6,6.5,7.4,0.6,7018.0,0.4700036292457356,8.856376036730422
25.3,6.8,7.1,0.8,1268.0,0.5877866649021191,7.1459844677143876
28.2,6.8,6.9,1.7,660.0,0.9932517730102833,6.493753839851686
28.5,6.6,7.0,1.4,822.0,0.8754687373538999,6.71295620067707
27.6,6.4,7.7,0.6,88.0,0.4700036292457356,4.48863636973214
29.0,7.3,6.9,1.9,825.0,1.0647107369924282,6.716594773520978
27.5,6.8,6.6,0.5,2950.0,0.4054651081081644,7.989899374942939
30.0,5.6,7.2,2.1,447.0,1.1314021114911006,6.104793232414985
